Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;Fornecedor;"Provedor externo/fornecedor externo: provedor que não pertence à organização. Exemplo: produtor, distribuidor, varejista ou vendedor de um produto ou de um serviço.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;FQ;"Formulário da Qualidade: documento padronizado para o registro de determinado tipo de dado ou informação.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Fruthotec;"Centro de Tecnologia de Frutas e Hortaliças";"Decreto nº 46.488 de 8 de janeiro de 2002";2025-04-17;;;;;
ATIVO;Função;"Conjunto de responsabilidades e atividades efetivamente exercidas pelo ocupante de um cargo, com sua especificidade.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Funcionário Estatutário";"Servidor titular em cargo público";www.recursoshumanos.sp.gov.br/;2025-04-17;;;;;
ATIVO;Fundepag;"Fundação de Desenvolvimento da Pesquisa do Agronegócio";www.fundepag.br;2025-04-17;;;;;
ATIVO;Fussesp;"Fundo Social de Solidariedade do Estado de São Paulo.";http://www.fundosocial.sp.gov.br/;2025-04-17;;;;;
ATIVO;"Gastos com pessoal";"Gastos com funcionários concursadas ou comissionadas contratadas pelo Estado ou contratadas pela Fundação de Apoio para prestar serviços no Ital. Nos gastos com pessoal contratado pelo Estado é considerado o valor bruto e com pessoal contratado por Fundação de Apoio valor bruto mais encargos, incluindo bolsas de pesquisa em todas as modalidades e de estagiários.";"Estabelecido internamente  pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Gerador de resíduo";"Unidade técnica geradora de resíduos de qualquer natureza, responsável pela segregação, Identificação e destinação dos resíduos e das respectivas embalagens.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Gesp;"Governo do Estado de São Paulo";www.saopaulo.sp.gov.br/;2025-04-17;;;;;
ATIVO;Gestor;"Diretor Geral, diretores de Unidades e seus substitutos e assessores.";"Estabelecido internamente  pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;GTI;"Grupo de Tecnologia da Informação";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
