ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
FQ-06.57	Tabulação de avaliações de palestra/treinamento interno remoto		FQ	RA	1	12/05/23	-	Intranet RA-25 RA-56	   
FQ-06.58	Controle de capacitação de funcionários		FQ	RA	0	01/04/22	-	Intranet RA-25 RA-56	   
FQ-06.59	Avaliação 5S - Depósitos		FQ	RA	1	21/10/25	-	Intranet RA-25 RA-56	   
FQ-06.60	Mapeamento e amostragem - Avaliação 5S		FQ	RA	2	15/05/26	-	Intranet RA-25 RA-56	   
FQ-06.61	Controle de Treinamento de longa duração		FQ	RA	0	19/09/24	-	Intranet RA-25 RA-56	   
FQ-06.62	Avaliação 5S - Estacionamento		FQ	RA	0	16/12/25	-	Intranet RA-25 RA-56	   
FQ-07.01	Plano detalhado de projeto		FQ	RA	10	24/02/23	-	Intranet RA-25 RA-56	   
FQ-07.02	Plano Detalhado de Projeto P&D&I (Fomento e Outros Recursos)		FQ	RA	15	18/11/22	-	Intranet RA-25 RA-56	   
FQ-07.04	Controle de relatório de projeto de P&D (iniciativa privada)		FQ	RA	4	23/03/18	-	Intranet RA-25 RA-56	   
FQ-07.05	Controle de Eimes/Equipamentos		FQ	RA	8	29/07/21	-	Intranet RA-25 RA-56	   
FQ-07.06	Ficha de identificação de equipamentos		FQ	RA	7	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.07	Histórico do equipamento		FQ	RA	2	18/09/12	-	Intranet RA-25 RA-56	   
FQ-07.09	Avaliação de fornecimento		FQ	RA	7	06/01/25	-	Intranet RA-25 RA-56	   
FQ-07.10	Events Evaluation (Acesso não liberado - entre em contato com Setor RA-DG)		FQ	RA	11	16/02/24	-	RA-25 RA-56	   
FQ-07.10	Avaliação de eventos (Acesso não liberado - entre em contato com Setor RA-DG)		FQ	RA	11	16/02/24	-	RA-25 RA-56	   
FQ-07.11	Cadastro simplificado de bolsas e demais auxílios		FQ	RA	6	18/11/22	-	Intranet RA-25 RA-56	   
FQ-07.12	Avaliação da condição dos materiais em estoque		FQ	RA	5	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.13	Cadastro de fornecedor		FQ	RA	3	09/04/18	-	Intranet RA-25 RA-56	   
FQ-07.14	Plano e controle anual de manutenção preventiva		FQ	RA	6	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.15	Programação de Eventos		FQ	RA	8	02/06/26	-	Intranet RA-56	   
FQ-07.17	Controle de saída de material permanente		FQ	RA	4	28/06/22	-	Intranet RA-25 RA-56	   
FQ-07.18	Registro de certificados emitidos		FQ	RA	1	22/03/17	-	Intranet RA-25 RA-56	   
FQ-07.19	Histórico de incerteza		FQ	RA	1	27/02/19	-	Intranet RA-25 RA-56	   
FQ-07.20	Verificação da performance de espectrofotômetro		FQ	RA	8	19/09/24	-	Intranet RA-25 RA-56	   
FQ-07.21	Verificação da performance de cromatógrafos líquidos (HPLC)		FQ	RA	3	18/03/22	-	Intranet RA-25 RA-56	   
FQ-07.22	Verificação da performance de cromatógrafos gasosos (CG)		FQ	RA	3	23/03/18	-	Intranet RA-25 RA-56	   
FQ-07.23	Verificação de vidraria volumétrica		FQ	RA	0	26/01/15	-	Intranet RA-25 RA-56	   
FQ-07.24	Checagem intermediária de pipeta automática ou micropipeta		FQ	RA	3	23/09/25	-	Intranet RA-25 RA-56	   
FQ-07.25	Ficha de inscrição de candidatos pós-graduação (aluno regular)		FQ	RA	4	17/04/25	-	Intranet RA-25 RA-56	   
FQ-07.26	Matrícula de aluno regular		FQ	RA	3	17/04/25	-	Área do aluno Intranet RA-25 RA-56	   
FQ-07.27	Solicitação de matrícula de aluno especial		FQ	RA	3	17/04/25	-	Intranet RA-25 RA-56	   
FQ-07.29	Termo de confidencialidade e sigilo - aluno pós-graduação		FQ	RA	1	17/04/25	-	Área do aluno Intranet RA-25 RA-56	   
FQ-07.32	Solicitação de trancamento de matrícula de disciplina		FQ	RA	1	18/05/15	-	Área do aluno Intranet RA-25 RA-56	   
